epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2717,1.06011,2.34863,2.35865,1.34617,0.88864,0.29558,0.60294,0.42833,0.88864,0.29558,0.60094,0.41038,0.90883,2.56721,2.68418,1.30784,0.000654971,0.000654971,0.000654971
2,37.641,1.18066,2.14161,1.8641,1.4194,0.66181,0.57986,0.63582,0.3981,0.62975,0.5463,0.5936,0.3306,1.2287,4.90715,2.34362,1.64812,0.0013151,0.0013151,0.0013151
3,49.0614,1.18038,2.04534,1.69711,1.41165,0.697,0.5964,0.6506,0.36214,0.60882,0.51879,0.5611,0.24768,1.26829,4.99277,1.93957,1.69078,0.00196862,0.00196862,0.00196862
4,60.3947,1.24575,2.23047,1.63581,1.47206,0.7652,0.60353,0.72275,0.44073,0.70928,0.61111,0.69074,0.4539,1.08119,2.27024,1.69603,1.47197,0.0019703,0.0019703,0.0019703
5,71.6931,1.15545,2.05259,1.48316,1.4083,0.67185,0.75,0.73196,0.49599,0.70826,0.7963,0.75247,0.49707,0.96621,2.31302,1.49353,1.34058,0.0019604,0.0019604,0.0019604
6,82.9555,1.15698,1.96618,1.38328,1.41151,0.73286,0.77778,0.84891,0.57005,0.78018,0.68519,0.82068,0.54244,0.97239,2.1432,1.52695,1.31671,0.0019505,0.0019505,0.0019505
7,94.1534,1.13416,2.00608,1.30442,1.38478,0.81979,0.74074,0.81058,0.59251,0.81979,0.74074,0.81906,0.59269,0.84417,1.73828,0.9852,1.2395,0.0019406,0.0019406,0.0019406
8,105.285,1.14301,2.0793,1.36435,1.41035,0.80899,0.75,0.82855,0.58238,0.83185,0.77871,0.84351,0.5995,0.95426,1.8361,1.44025,1.29888,0.0019307,0.0019307,0.0019307
9,116.683,1.0661,1.91028,1.26952,1.3378,0.75715,0.72222,0.79049,0.55191,0.76483,0.73148,0.79417,0.58883,0.96863,1.7199,1.22002,1.29687,0.0019208,0.0019208,0.0019208
10,128.013,1.07359,1.92918,1.23162,1.34937,0.77036,0.74549,0.75884,0.52738,0.77969,0.75369,0.77419,0.53058,0.95147,1.67984,1.00957,1.28033,0.0019109,0.0019109,0.0019109
11,139.266,1.08842,1.88319,1.2479,1.36773,0.76273,0.78704,0.81431,0.57091,0.77125,0.78047,0.79994,0.56125,1.00699,1.81396,1.06147,1.31536,0.001901,0.001901,0.001901
12,150.651,1.03923,1.85241,1.15131,1.32684,0.87926,0.74169,0.85641,0.61672,0.90112,0.75948,0.86952,0.6166,0.85058,1.72101,1.12998,1.21203,0.0018911,0.0018911,0.0018911
13,162.102,1.03053,1.79831,1.15296,1.31243,0.84135,0.75,0.82988,0.57484,0.85174,0.75926,0.83537,0.57433,0.96509,1.68303,0.93213,1.25754,0.0018812,0.0018812,0.0018812
14,173.436,1.03477,1.76133,1.11973,1.3247,0.83978,0.82503,0.87933,0.65101,0.83978,0.82503,0.87265,0.66395,0.78873,1.54082,0.77962,1.15166,0.0018713,0.0018713,0.0018713
15,184.855,0.99188,1.77496,1.12523,1.28692,0.87905,0.77778,0.86418,0.6457,0.90106,0.7963,0.87248,0.6523,0.85271,1.71275,0.87272,1.24164,0.0018614,0.0018614,0.0018614
16,196.36,0.98594,1.76151,1.06645,1.29718,0.73326,0.77778,0.77807,0.59204,0.77719,0.82407,0.82362,0.59035,0.7868,1.52396,0.85091,1.16739,0.0018515,0.0018515,0.0018515
17,207.643,1.00252,1.78822,1.1239,1.32784,0.83434,0.71296,0.83344,0.60822,0.85601,0.73148,0.83037,0.60186,0.90496,1.82448,1.02046,1.21127,0.0018416,0.0018416,0.0018416
18,219.133,0.9809,1.79559,1.03824,1.28587,0.73035,0.75,0.78418,0.55314,0.72937,0.77362,0.77897,0.55771,0.85628,1.75329,1.03237,1.20967,0.0018317,0.0018317,0.0018317
19,230.55,1.00173,1.70744,1.07636,1.28712,0.84704,0.82041,0.90165,0.70434,0.83992,0.80556,0.88382,0.67662,0.76855,1.38454,0.69674,1.13255,0.0018218,0.0018218,0.0018218
20,241.973,1.01241,1.79154,1.06043,1.29793,0.77588,0.7693,0.78695,0.59018,0.78517,0.77836,0.80478,0.58559,0.92516,1.698,0.94824,1.28863,0.0018119,0.0018119,0.0018119
21,253.388,0.96399,1.67172,1.01668,1.27365,0.86964,0.83333,0.87868,0.65332,0.88153,0.85185,0.8971,0.67882,0.9192,1.54907,0.70664,1.25345,0.001802,0.001802,0.001802
22,264.726,0.98747,1.76094,1.00274,1.27217,0.89091,0.82407,0.87535,0.65559,0.90092,0.83333,0.88776,0.64296,0.79282,1.53299,0.83196,1.16186,0.0017921,0.0017921,0.0017921
23,276.241,0.95251,1.67755,1.00371,1.27605,0.85755,0.78036,0.87217,0.66439,0.86504,0.77155,0.87201,0.66432,0.85088,1.57341,0.80094,1.21645,0.0017822,0.0017822,0.0017822
24,287.623,0.93959,1.65915,0.98537,1.24463,0.86668,0.7963,0.88011,0.66899,0.85597,0.78704,0.87816,0.67212,0.83296,1.43278,0.7133,1.18067,0.0017723,0.0017723,0.0017723
25,298.965,0.95219,1.63927,0.99137,1.25691,0.83338,0.75926,0.84437,0.64525,0.8493,0.78274,0.85418,0.65035,0.82312,1.46248,0.69126,1.17426,0.0017624,0.0017624,0.0017624
26,310.482,0.94773,1.71505,0.99983,1.26026,0.85079,0.79198,0.85963,0.65374,0.86074,0.80124,0.8686,0.6576,0.76818,1.47266,0.70587,1.17517,0.0017525,0.0017525,0.0017525
27,322.055,0.91087,1.60516,0.92704,1.23484,0.91803,0.8296,0.9064,0.68164,0.93838,0.84601,0.91902,0.69482,0.76733,1.42781,0.65168,1.14375,0.0017426,0.0017426,0.0017426
28,333.561,0.94198,1.63042,0.96228,1.2479,0.84491,0.7963,0.87238,0.66714,0.897,0.80637,0.89857,0.66917,0.79441,1.57772,0.70124,1.16411,0.0017327,0.0017327,0.0017327
29,344.964,0.91956,1.64006,0.96037,1.24655,0.93867,0.78704,0.90546,0.71015,0.88468,0.85241,0.9135,0.7056,0.75478,1.44377,0.766,1.14029,0.0017228,0.0017228,0.0017228
30,356.385,0.92387,1.62624,0.97019,1.26609,0.85196,0.7963,0.88885,0.68757,0.86187,0.80556,0.89036,0.68375,0.70734,1.37966,0.66609,1.10911,0.0017129,0.0017129,0.0017129
31,367.694,0.91946,1.69204,0.93828,1.23809,0.83786,0.85185,0.87978,0.68084,0.8195,0.83333,0.87126,0.67941,0.76957,1.32567,0.65864,1.12593,0.001703,0.001703,0.001703
32,379.123,0.90499,1.60207,0.92605,1.23181,0.8939,0.81481,0.92235,0.72852,0.86999,0.86745,0.92017,0.72054,0.70809,1.26418,0.61199,1.10929,0.0016931,0.0016931,0.0016931
33,390.656,0.93897,1.62618,0.95404,1.26449,0.86176,0.80811,0.85458,0.66374,0.89129,0.8351,0.88347,0.68658,0.7459,1.39099,0.76151,1.14597,0.0016832,0.0016832,0.0016832
34,402.076,0.91531,1.62623,0.93362,1.24011,0.9153,0.73148,0.85677,0.68048,0.9153,0.73148,0.85899,0.64961,0.78128,1.58968,0.73954,1.13712,0.0016733,0.0016733,0.0016733
35,413.424,0.86533,1.554,0.89722,1.20908,0.89484,0.86672,0.91225,0.70905,0.91396,0.88524,0.93041,0.73524,0.7694,1.28447,0.64125,1.1364,0.0016634,0.0016634,0.0016634
36,425.273,0.89883,1.59012,0.92664,1.2205,0.84534,0.86111,0.87412,0.67116,0.86375,0.87963,0.88661,0.68962,0.79578,1.35037,0.741,1.20424,0.0016535,0.0016535,0.0016535
37,436.542,0.90495,1.62761,0.93182,1.22953,0.9158,0.7963,0.90703,0.69645,0.92684,0.82111,0.92063,0.7108,0.75812,1.35162,0.64801,1.1327,0.0016436,0.0016436,0.0016436
38,447.948,0.88909,1.56096,0.89667,1.21665,0.89733,0.83333,0.90601,0.72384,0.89418,0.83333,0.9067,0.71653,0.73837,1.22224,0.64169,1.10791,0.0016337,0.0016337,0.0016337
